,id,image_url,Background,Fur,Clothes,Mouth,Eyes,Hat
98,98,https://ipfs.io/ipfs/Qma1kbYN4LzAK9XvQUNJ6nf79iAd3dM6K87ivm8oLrisVV,Gray,Death Bot,Stunt Jacket,Rage,Bored,Spinner Hat
102,102,https://ipfs.io/ipfs/QmYoi2fG1Y3Nwt7PrDFNjZBpgbiE3aLaend3X66Ji7N7Eb,Aquamarine,Gray,Biker Vest,Bored,Bored,Irish Boho
103,103,https://ipfs.io/ipfs/QmZnyd5V5UdCdyPEZX5fCJFi1Dhr4nQjwQXBE3KXBzQnv3,Purple,Black,Leather Jacket,Phoneme L,Sleepy,Short Mohawk
104,104,https://ipfs.io/ipfs/QmWCRE6NZDfXcwwHJtduQ6Mf4jsdKjnNZgT37DpHgEzyeS,Aquamarine,Brown,Bayc T Black,Bored Pipe,Holographic,Laurel Wreath
107,107,https://ipfs.io/ipfs/QmTDaAd5UWFQcfR2NqnhhW4Wny2HPjzdNt9fxaqVw5zTnA,Blue,Red,Space Suit,Bored,Zombie,Short Mohawk
111,111,https://ipfs.io/ipfs/QmbvESayNzBw2F8rsLJCPrPhDCJZ1FJfBiNhbkpzy2N5fd,Orange,Brown,Leather Jacket,Bored Unshaven,Angry,Bayc Flipped Brim
113,113,https://ipfs.io/ipfs/QmPZ5etEzgSQZ6VvLz1q8noh52T7amZAb5ZCs7t8Qp4MKH,Gray,Black,Navy Striped Tee,Bored,Zombie,Horns
115,115,https://ipfs.io/ipfs/QmTW5e5nGSqvrGeo5ABwsYvPxtuPbC5zmL4GLsSYDWr9na,Purple,Cream,Sleeveless T,Bored Cigar,Bloodshot,Bayc Hat Black
117,117,https://ipfs.io/ipfs/QmUddpr9WxNfcT2ZWqLUn1MJPhFjrxMxD6an2Mo16F8KhA,Blue,Tan,Navy Striped Tee,Bored Cigarette,Cyborg,Beanie
124,124,https://ipfs.io/ipfs/QmXtgSw5K1ZAk68dbeoFAPfKSUVL7zRtRaJ5ZTo7VBQiFP,Gray,White,Hawaiian,Bored Cigarette,Eyepatch,Short Mohawk
128,128,https://ipfs.io/ipfs/QmS5CF3J7kBhHxM6SYfrxzjvMRd6DqnXhvbcsjhFWdXqYg,Yellow,Gray,Leather Punk Jacket,Bored,Hypnotized,Trippy Captain's Hat
144,144,https://ipfs.io/ipfs/QmWgVuekGfntQJt7Pkx1tDL4EH2qLsZP9BBsBrVncL1Zjy,Orange,White,Toga,Phoneme Vuh,Wide Eyed,Fisherman's Hat
145,145,https://ipfs.io/ipfs/QmbjtxJP383CghNhz4edZyMyygKwWP8SjpmZKvmLiWm2mh,Orange,Black,Bone Necklace,Bored Unshaven,3d,Prussian Helmet
146,146,https://ipfs.io/ipfs/QmaZ8ga6goo7joKkwU2WokFyn4rCWG5CRq2wAuS9pe5WLM,Gray,Zombie,Sleeveless Logo T,Phoneme L,Laser Eyes,Faux Hawk
150,150,https://ipfs.io/ipfs/QmR9uR6ufPnTrz2eFVrhgESEaU47Y7F4UE5pYorHNYR9XF,Gray,Dark Brown,Cowboy Shirt,Bored,Bored,Sushi Chef Headband
151,151,https://ipfs.io/ipfs/QmdPxxusdJnRVMiTQtr77cfUMRsNTD5wG72CVyYKjzSnS8,Gray,Blue,Bone Tee,Bored Unshaven Cigarette,Blindfold,Seaman's Hat
156,156,https://ipfs.io/ipfs/QmNU1StvLJkBTJwZBvdCCraWjtb5N1Q3gbtpBoLuNJmNB2,Orange,Golden Brown,Tanktop,Bored Unshaven,X Eyes,S&m Hat
162,162,https://ipfs.io/ipfs/QmRVcuTsyEeok2EhJe6x3ueUrp5bCEdo22ZoLHv55VCHk1,Blue,Noise,Wool Turtleneck,Jovial,Bloodshot,Spinner Hat
163,163,https://ipfs.io/ipfs/QmeMVKqKKwFKdz6bmtJoWNTgna6UpSWRnwBbb1qefEdvyr,Aquamarine,Zombie,Striped Tee,Bored Unshaven,Heart,Bayc Flipped Brim
164,164,https://ipfs.io/ipfs/QmVsfZW7p1WNHKNZAgMYiGvxKjytJUzaNt3vC8o379jywW,Yellow,White,Bone Tee,Bored,Wide Eyed,Fez
165,165,https://ipfs.io/ipfs/QmWtqvMqxJbnkDJGPzPoH24m1Ceoa4CTJMVo4ec1cACrUB,Purple,Cream,Tuxedo Tee,Bored Unshaven,Robot,Beanie
169,169,https://ipfs.io/ipfs/QmUTSC3pgVXaQo1NLTA81pqwxqXtYnZ1viamAJJ1meMqJZ,Blue,White,Smoking Jacket,Dumbfounded,Bored,Faux Hawk
173,173,https://ipfs.io/ipfs/Qmc9GQdUDWig8tM9YapMyHGWDnhVKepmnwS3KgSxvqHnqG,Yellow,Blue,Guayabera,Bored,Bored,Bayc Flipped Brim
176,176,https://ipfs.io/ipfs/QmPaiixKM2MZKCT8gorxWwR43VVTzU5cKEkSK5oxqm4ZcS,Yellow,Black,Puffy Vest,Phoneme  ooo,Coins,Bowler
180,180,https://ipfs.io/ipfs/QmSVJXYNrgXfBeT4MqWWb2F3QiwxCFDa6K1B2giKKYirq5,Gray,Cream,Biker Vest,Bored Cigarette,Zombie,Seaman's Hat
184,184,https://ipfs.io/ipfs/QmePZpMzNvoJRnFWgNNUVwnjkkBaXoaAtGZS88Esq2swtg,Gray,White,Rainbow Suspenders,Bored Unshaven,X Eyes,Prussian Helmet
185,185,https://ipfs.io/ipfs/QmUuDy4s3fN5UQMKh1dA8zo88D1HVwFYf7G7P8cV2sVZPx,Orange,Zombie,Cowboy Shirt,Bored Cigarette,Blue Beams,Fez
186,186,https://ipfs.io/ipfs/QmR8QZr459ScbFPNdmWRcEMPia4DEUXEhQ4719wC5tqKmA,Gray,Golden Brown,Wool Turtleneck,Bored,Closed,Army Hat
200,200,https://ipfs.io/ipfs/QmPyjKqRHP1wXLkJLH4ffiQcDw1HsNh5RwdZdiSAypxuxR,Purple,Death Bot,Leather Jacket,Bored Cigarette,Heart,Cowboy Hat
211,211,https://ipfs.io/ipfs/QmernHFiHtsmVjWACuUMzoTmvvChb16H13mCsCLuawJWDj,Gray,Trippy,Work Vest,Bored,Zombie,Baby's Bonnet
218,218,https://ipfs.io/ipfs/QmaTDZmDPQUbyyhx6bcDYtByAz6TuvrF2Mser9XcwPgjfh,Blue,Brown,Caveman Pelt,Grin,Zombie,Army Hat
219,219,https://ipfs.io/ipfs/QmQZjaaLetEG6ADbaa1gHZ34BzCPscEdVycsNJ4WTGrCDF,Orange,Cream,Puffy Vest,Discomfort,Bored,Stuntman Helmet
220,220,https://ipfs.io/ipfs/QmcrbodkBGg3Gu9kPjjXLSDqcPeSxXvm7E2QGFWdZ7qQoL,Yellow,Red,Black Holes T,Bored,Blindfold,Short Mohawk
221,221,https://ipfs.io/ipfs/QmUzPkkZPvu5mAmfrjtruXM5zewM2Eiyx5Bnodci2G1b4x,Purple,Dark Brown,Sailor Shirt,Phoneme Wah,Crazy,Cowboy Hat
225,225,https://ipfs.io/ipfs/QmUZHhnW89mCGCBKhaM4jyUEwByeCL45mzzadms46DX63Z,Purple,Cheetah,Leather Jacket,Bored,Sunglasses,Halo
227,227,https://ipfs.io/ipfs/QmUDNUoM43r4Kfnishyd5hn9JazdXURqiCQtzxRg8m6rmX,Aquamarine,Cream,Black Holes T,Bored Bubblegum,X Eyes,Short Mohawk
230,230,https://ipfs.io/ipfs/Qmc64i1kynJBWVQqLuWmtWGgMp67Vxdp8uyvi2eRwqLcnQ,Blue,Dark Brown,Caveman Pelt,Bored Unshaven,Sleepy,Beanie
231,231,https://ipfs.io/ipfs/QmbxRyCLRimkb6QRfw2xbv9dywcGn7zKMXtxtrvRQnhao1,Orange,Pink,Bone Tee,Rage,X Eyes,Beanie
240,240,https://ipfs.io/ipfs/QmefcCgMz5SHBjHK9kXw7nu1dyKFW3z26SWsCbtPKCMm1j,Yellow,Black,Tweed Suit,Rage,Hypnotized,Party Hat 1
241,241,https://ipfs.io/ipfs/Qmc2Sv9JUbyGHxWNFRDUQyfam9cY4eqF8W7HwkvauKoEsG,Aquamarine,Tan,Rainbow Suspenders,Dumbfounded,Coins,Fisherman's Hat
243,243,https://ipfs.io/ipfs/QmbCaoqmoWhNnnM78hmhyn69DcpiMkU1UTcLZcBfcza57T,Blue,Brown,Bayc T Red,Bored Bubblegum,Angry,Army Hat
244,244,https://ipfs.io/ipfs/QmfNN37b7gpfsw2w3mC4kDvnXfWXxCqnRSMgpb9zGqAuSb,Purple,Dark Brown,Sleeveless Logo T,Phoneme Oh,3d,Prussian Helmet
249,249,https://ipfs.io/ipfs/QmchYgJ3rX8FuSfgEZUWtZHv8ek12cEYHd4ppoUnSDyAWZ,Blue,Brown,Cowboy Shirt,Bored Party Horn,Sunglasses,Safari
257,257,https://ipfs.io/ipfs/QmYAdHUp5PKxfUivinSyK3t5PwpDatBZoUzCGHQi2uNyt4,Yellow,Tan,Sleeveless T,Bored,Bloodshot,Trippy Captain's Hat
258,258,https://ipfs.io/ipfs/QmTDmwQVCcdEk1Mcna59bxZGHYSWQmBX4F8Zdk62CSw51k,Blue,Cheetah,Bone Necklace,Bored,Sad,Bayc Flipped Brim
259,259,https://ipfs.io/ipfs/Qmb7BT6atjY1w7jeEj9X8rUUTy2AcseQNCzQEXa5eV7xji,Aquamarine,Cheetah,Tweed Suit,Grin,Zombie,Irish Boho
267,267,https://ipfs.io/ipfs/QmVTfb8sqwe1rMQbWzGgghhVwBbjaAyvqheLyRDR52FF6x,Orange,Black,Sailor Shirt,Dumbfounded,Zombie,Beanie
273,273,https://ipfs.io/ipfs/QmSqDpFk1LEXdbJehmXb82nikVvLy6akywpXGXPCSLMaDG,Gray,Cream,Leather Jacket,Bored,Closed,Fez
283,283,https://ipfs.io/ipfs/QmWPJYjaA9Fuxcez5i4YGDrxJdvPgJisciGc2tijg7kGnN,Gray,Dark Brown,Tanktop,Bored Unshaven,Bored,Sushi Chef Headband
284,284,https://ipfs.io/ipfs/Qme2W3XobswZ9Cn8z8WHNiGy11yJyKcYsZ88fUWgSsTYax,Yellow,White,Guayabera,Bored,Coins,Bayc Flipped Brim
286,286,https://ipfs.io/ipfs/QmTQQkp5YNME6ys4tnGuoHMXXaP6m2cMTb5UtVfddXti1r,Aquamarine,Cheetah,Black T,Small Grin,Blindfold,Bayc Hat Black
289,289,https://ipfs.io/ipfs/QmQaSURZc5YJBFyJDQ2MRiQAAPDm7tAJkiHULTdAR4nyy4,Aquamarine,Black,Caveman Pelt,Small Grin,X Eyes,Prussian Helmet
290,290,https://ipfs.io/ipfs/QmapFQsKzvyzucH5gtiURxoQnGDxf6ro1gQCrLJfD4o9xm,Purple,Gray,Stunt Jacket,Bored Cigar,Angry,Safari
291,291,https://ipfs.io/ipfs/QmQsvE4gfCfRQx6nJDEF5gJt7ehUpmrm6eoz4hXnPUkMcQ,Purple,Dmt,Bone Necklace,Grin,Bloodshot,Bayc Hat Black
293,293,https://ipfs.io/ipfs/Qmb2HspfLghEEDmLuHH4cEbRYuSTn2tvU4CAeMqkk6Knuz,Blue,Cream,Kings Robe,Phoneme Oh,Angry,Horns
297,297,https://ipfs.io/ipfs/QmNUhCYAfr79iK8RVur7UturdsyRXznV2sSYvjT53888DX,Aquamarine,Red,Toga,Grin,Bored,Sushi Chef Headband
299,299,https://ipfs.io/ipfs/QmTGJ1KgEL4ZtE3gU9T3c3yv2XHxsqfUMT4MAUcCrnuPqf,Gray,Blue,Tie Dye,Rage,Bored,S&m Hat
307,307,https://ipfs.io/ipfs/QmaBrx2vxtg2EgztXdo9FUw8kxjurGdhaCnFTJGUgGrUdM,Purple,Pink,Bayc T Red,Bored,3d,Army Hat
310,310,https://ipfs.io/ipfs/QmcCnVkhDGgJo5HnwUfGXYhrXetnt9eZsj4AgDwns4Ev9Y,Purple,Blue,Sleeveless Logo T,Bored Cigar,Closed,Sea Captain's Hat
312,312,https://ipfs.io/ipfs/QmPxu4fisBPSiVeGYVNoyYQzXoT7dGB2qoN5HH689QG7Dg,Aquamarine,Black,Black T,Bored,3d,Bayc Flipped Brim
313,313,https://ipfs.io/ipfs/QmZfxupJJT9zEfPe1kmBjBSeWCUYw246nHtzXTdFCzLy7X,Aquamarine,Pink,Tie Dye,Bored Unshaven,Bored,Bayc Hat Black
322,322,https://ipfs.io/ipfs/QmX5ZvBSRzvna6Zrancx5NrK4jWm1Rojdv48rwktgNGDNf,Purple,Dark Brown,Tie Dye,Phoneme  ooo,Bloodshot,Fisherman's Hat
325,325,https://ipfs.io/ipfs/Qmf4v9Any6QbmrygbHVxjnP1g3gu7Li13PFNsmdAXCryzK,Aquamarine,Gray,Sleeveless Logo T,Bored,Blindfold,Cowboy Hat
331,331,https://ipfs.io/ipfs/Qmay6dCEMkas77qjYGCirK7g5R5BqWkWFL9T2ZjX8MZnt5,Aquamarine,Brown,Toga,Grin,Scumbag,Seaman's Hat
335,335,https://ipfs.io/ipfs/QmVqP1EszLEr57i1UGYvgCnf2V6WFvzYmRaqBPaGeywXTX,Orange,Dark Brown,Black Holes T,Bored,Bloodshot,Bunny Ears
342,342,https://ipfs.io/ipfs/QmYk2ZbPQgS8mWAo3RAuTrqdpdvAaBwFXCGX8zMY87Sk3K,Orange,Black,Work Vest,Bored Pipe,Bloodshot,Bayc Flipped Brim
346,346,https://ipfs.io/ipfs/QmdcevNRRN5Y1W3uomdLWbhTwnrXDek5zRsK1wRUyRZ4Ye,Aquamarine,Cream,Sleeveless T,Bored Bubblegum,Bored,Vietnam Era Helmet
351,351,https://ipfs.io/ipfs/QmdpxvqyAqxVYgRQUVQhMJj9i9woarBTU5Xd9pMqQTSdFa,Gray,Dark Brown,Hawaiian,Bored Unshaven Cigarette,Eyepatch,S&m Hat
353,353,https://ipfs.io/ipfs/QmZmZS3etJKhxGWw1xjL3oBXX17nH2dTqispkkFqr65nc7,Aquamarine,Tan,Black Holes T,Tongue Out,Bored,Bandana Blue
360,360,https://ipfs.io/ipfs/QmXKjajJehyypaSp43GDXQkr5mYafiE4WfSZ2iw2azX6GW,Yellow,Brown,Toga,Bored Unshaven Bubblegum,Zombie,Bayc Flipped Brim
362,362,https://ipfs.io/ipfs/QmZhGAKtATMzTwBSRnr1kRV8Pwp5huFj9JFXQMJdmRG25s,Gray,Black,Guayabera,Grin,Sleepy,Bayc Hat Black
363,363,https://ipfs.io/ipfs/QmUpi4wcm7ck6LU1jqJUpmR3yV64aqTbX7kT1pgqTDwDXV,Orange,Robot,Black T,Grin,Wide Eyed,Laurel Wreath
365,365,https://ipfs.io/ipfs/QmevMkRnLmQBff9PzXsA6oseaknYQALPnPq4dYjXpC2FcY,Aquamarine,Red,Tie Dye,Bored,Coins,Commie Hat
366,366,https://ipfs.io/ipfs/QmUp9zbBQ8sDfADJUN3GTqFNDPRXm7APhYf18DovQ9rFSc,Blue,Cream,Caveman Pelt,Bored,Bored,Halo
367,367,https://ipfs.io/ipfs/QmTAZ1NZTTUr62P4fqANSyNFTppfjnoyUYxc3jaC2SvUiL,Aquamarine,Red,Black T,Jovial,Sleepy,Horns
368,368,https://ipfs.io/ipfs/QmPEbxCQmJNxJh4psLcQjUCvjoRunMvZkT3oGESiHFuxVS,Orange,White,Guayabera,Bored,Wide Eyed,Sea Captain's Hat
369,369,https://ipfs.io/ipfs/QmQWKDBseCyHMQxjFq1AAdnaEe43kNfHgojKkEBQ2JyfL7,Purple,Dark Brown,Bone Tee,Bored,Sleepy,Beanie
380,380,https://ipfs.io/ipfs/QmcWJHWS2Vovj3meJWLUYTWejcXo6Cf8zTWVr8xxxPNe5z,Yellow,Pink,Bayc T Black,Jovial,Bored,Seaman's Hat
386,386,https://ipfs.io/ipfs/QmaLEZLsC6yxeSdY1JvqESp1JB6fVvtGejTn31JgPoWPR4,Yellow,Black,Vietnam Jacket,Bored Dagger,Sleepy,Bowler
387,387,https://ipfs.io/ipfs/QmTjuA2wJGV8HgEM6LejBfLSVEupC9up5FQSYNFiqew6XV,Blue,Tan,Bayc T Red,Rage,Wide Eyed,Safari
388,388,https://ipfs.io/ipfs/QmTpWP7KgHK8mpNop8D1sNEUQ5bCRAKDk6yLk14KpM8byX,Purple,Black,Sleeveless T,Tongue Out,Crazy,Army Hat
389,389,https://ipfs.io/ipfs/QmXUYfCWXUtaCRc25HTk11aVpwaL3ted76NyCQ5LHXWjwV,Gray,Cream,Hawaiian,Bored,Hypnotized,Seaman's Hat
390,390,https://ipfs.io/ipfs/QmfFUZrC7zaYBY7A293jNgbnp78svkkBuPA8nmugy7FpUc,Orange,Brown,Striped Tee,Bored Unshaven,Sleepy,Vietnam Era Helmet
392,392,https://ipfs.io/ipfs/QmSVkxfjgsuwbypR9M3pvFFmCrARetbMg9JKjpmNyocMZo,Gray,Brown,Wool Turtleneck,Bored,Robot,Commie Hat
403,403,https://ipfs.io/ipfs/QmPWwgMei8KHH8yWh3Cf1eeQJnXzCZctFzG7dpiQeDuh83,Orange,Black,Sleeveless Logo T,Phoneme Vuh,Closed,Bowler
404,404,https://ipfs.io/ipfs/QmWDFrS1xAnZVch2Sc3Dt8KWFWK36eUkPt7CNnz2nevyP8,Gray,Noise,Black T,Discomfort,Closed,Seaman's Hat
405,405,https://ipfs.io/ipfs/QmbGHEXxvizPmRCYuLsgoRvtm3Sqtv8qDcKjCgXCvtwwHU,Orange,Robot,Black T,Bored Unshaven Cigarette,Heart,Bandana Blue
406,406,https://ipfs.io/ipfs/QmdhVHTsHH6MNbgJrWrpkRk1THrgu7NPTNCXLTinnxDVUA,Purple,Gray,Bone Tee,Grin Gold Grill,Eyepatch,Baby's Bonnet
411,411,https://ipfs.io/ipfs/QmbhrqUM6J1JgRX2VPomHbvxPRdB8Y4EBvWKD9otSLXhVK,Yellow,Tan,Prison Jumpsuit,Bored Unshaven,Bored,Fez
412,412,https://ipfs.io/ipfs/QmZDzdCVQ3QY438VKUTyuSZEEMHT54WoqGmFg1UCp67958,Purple,Golden Brown,Sleeveless Logo T,Phoneme Oh,Eyepatch,Safari
415,415,https://ipfs.io/ipfs/QmdTempfLCLuEwmDZZ3ma9bepdLer5vQuUkCq2SmEgpqbT,Blue,Zombie,Black T,Bored,Sad,Beanie
423,423,https://ipfs.io/ipfs/QmVbmdUCkRw2EQCrkmr8KUXeySTCspRVLoFieF1nSktTKU,Purple,Death Bot,Navy Striped Tee,Bored,Bored,Seaman's Hat
425,425,https://ipfs.io/ipfs/QmXvoCu2QnoT31t1Ch7uBRtQCddhb8VwYxbFv6X4mss36k,Blue,Death Bot,Tanktop,Bored Unshaven,Wide Eyed,S&m Hat
426,426,https://ipfs.io/ipfs/QmUFTuneJqESv3Sx21Sv9TdQidugtr23gckakgVDDBH68k,Orange,Tan,Striped Tee,Bored Pipe,Heart,Faux Hawk
430,430,https://ipfs.io/ipfs/QmY5VBF5dFpjirZKwbD92PZC6tnqudwtgYQMsDfj3LcYC5,Gray,Tan,Sleeveless T,Grin,Coins,Bayc Flipped Brim
432,432,https://ipfs.io/ipfs/QmWM9bdYW8tXdS3RudJUv1hhVCz6NVhtpjLJ2n41ED3vi8,Purple,Dark Brown,Biker Vest,Phoneme Wah,Angry,Vietnam Era Helmet
435,435,https://ipfs.io/ipfs/QmNthK2yoZ2yXcJtstjv8B5R1bmNPLxNzLQkwbeQUQGok5,Blue,Cream,Vietnam Jacket,Bored Unshaven Bubblegum,Sunglasses,Fisherman's Hat
438,438,https://ipfs.io/ipfs/QmVZkF5PZdsddqdbzUbobcVQKKwDPLGtcgTb7DVB53djJQ,Purple,Dark Brown,Bone Necklace,Bored Unshaven,3d,Bayc Flipped Brim
440,440,https://ipfs.io/ipfs/QmdBK6sntGnK7p8vfj7nkJELrWWceFdgiKW7h7g4EQaKaH,Gray,Cream,Sleeveless T,Bored Unshaven,Angry,Girl's Hair Pink
441,441,https://ipfs.io/ipfs/QmTpvRjHLP8XL3t3P2W1aqgUcfwnUyUPch2dyQFDJVot7N,Blue,Death Bot,Bandolier,Bored Cigarette,Blue Beams,Bunny Ears
449,449,https://ipfs.io/ipfs/QmV4PHuWterMcYGRcVK1KWceEch3HBRUgSmovsGXjLDocW,Yellow,Tan,Bandolier,Bored Cigarette,Bored,Seaman's Hat
450,450,https://ipfs.io/ipfs/QmSfReJsfmzQNb7sxfiJJdVTunpBE51C3v9CypFXbnqhs9,Yellow,Blue,Bayc T Black,Bored Unshaven,Coins,Army Hat
451,451,https://ipfs.io/ipfs/QmaJeDaXpZ6ucwfHCUQgkS5MsASSk1GdytY9yERQXSiVv2,Orange,Dark Brown,Tuxedo Tee,Bored Unshaven Pipe,Sleepy,Ww2 Pilot Helm
461,461,https://ipfs.io/ipfs/QmZCqtpEiXb1D73CUqxDRKuqVUfXxRA2xAyddHfjJWThAu,Yellow,Dmt,Wool Turtleneck,Bored,Coins,Bunny Ears
